Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_41_192,VDD,Metal1,119.3280,177.0920,4.999984
FILLER_41_160,VDD,Metal1,105.9555,177.1685,4.999984
FILLER_41_144,VDD,Metal1,87.6400,176.4000,4.999983
FILLER_41_142,VDD,Metal1,86.8000,176.4000,4.999983
FILLER_41_136,VDD,Metal1,84.3800,176.8325,4.999983
FILLER_41_104,VDD,Metal1,74.5955,177.1685,4.999983
FILLER_41_90,VDD,Metal1,57.4000,176.4000,4.999982
FILLER_41_82,VDD,Metal1,52.9200,176.4000,4.999982
FILLER_41_72,VDD,Metal1,47.6000,176.4000,4.999982
FILLER_41_60,VDD,Metal1,41.8200,176.8325,4.999982
FILLER_41_48,VDD,Metal1,33.8800,176.4000,4.999982
FILLER_41_40,VDD,Metal1,29.6800,176.4000,4.999982
FILLER_41_36,VDD,Metal1,28.3800,176.8325,4.999982
FILLER_40_325,VDD,Metal1,189.0000,176.4000,4.999989
FILLER_40_317,VDD,Metal1,186.9865,175.8230,4.999989
FILLER_40_311,VDD,Metal1,182.3800,175.9675,4.999989
FILLER_40_293,VDD,Metal1,171.0800,176.4000,4.999988
FILLER_40_289,VDD,Metal1,170.0600,175.9675,4.999988
FILLER_40_247,VDD,Metal1,146.5400,175.9675,4.999985
FILLER_40_244,VDD,Metal1,143.6400,176.4000,4.999985
FILLER_40_240,VDD,Metal1,142.6200,175.9675,4.999985
FILLER_40_209,VDD,Metal1,124.3200,176.4000,4.999984
FILLER_40_179,VDD,Metal1,107.2400,176.4000,4.999984
FILLER_40_177,VDD,Metal1,106.4000,176.4000,4.999984
FILLER_40_174,VDD,Metal1,104.4400,176.4000,4.999984
FILLER_40_172,VDD,Metal1,103.6000,176.4000,4.999984
FILLER_40_164,VDD,Metal1,101.3065,175.8230,4.999984
FILLER_40_131,VDD,Metal1,81.5800,175.9675,4.999983
FILLER_40_123,VDD,Metal1,78.3465,175.8230,4.999983
FILLER_40_107,VDD,Metal1,71.7280,175.7080,4.999983
FILLER_40_104,VDD,Metal1,65.2400,176.4000,4.999983
FILLER_40_96,VDD,Metal1,63.2265,175.8230,4.999983
FILLER_40_77,VDD,Metal1,51.3400,175.9675,4.999982
