Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_41_192,VSS,Metal1,118.1120,179.7720,0.000020
FILLER_41_160,VSS,Metal1,104.6040,179.7220,0.000021
FILLER_41_144,VSS,Metal1,87.6400,180.3200,0.000022
FILLER_41_142,VSS,Metal1,86.8000,180.3200,0.000022
FILLER_41_136,VSS,Metal1,83.6200,179.9710,0.000023
FILLER_41_104,VSS,Metal1,73.2440,179.7220,0.000023
FILLER_41_90,VSS,Metal1,57.4000,180.3200,0.000023
FILLER_41_82,VSS,Metal1,52.9200,180.3200,0.000023
FILLER_41_72,VSS,Metal1,47.6000,180.3200,0.000023
FILLER_41_60,VSS,Metal1,41.0600,179.9710,0.000023
FILLER_41_48,VSS,Metal1,33.8800,180.3200,0.000023
FILLER_41_40,VSS,Metal1,29.6800,180.3200,0.000023
FILLER_41_36,VSS,Metal1,27.6200,179.9710,0.000022
FILLER_40_325,VSS,Metal1,189.0000,172.4800,0.000012
FILLER_40_317,VSS,Metal1,185.9730,172.9415,0.000012
FILLER_40_311,VSS,Metal1,181.6200,172.8285,0.000011
FILLER_40_293,VSS,Metal1,171.0800,172.4800,0.000012
FILLER_40_289,VSS,Metal1,169.3000,172.8285,0.000012
FILLER_40_247,VSS,Metal1,145.7800,172.8285,0.000014
FILLER_40_244,VSS,Metal1,143.6400,172.4800,0.000014
FILLER_40_240,VSS,Metal1,141.8600,172.8285,0.000014
FILLER_40_209,VSS,Metal1,124.3200,172.4800,0.000016
FILLER_40_179,VSS,Metal1,107.2400,172.4800,0.000017
FILLER_40_177,VSS,Metal1,106.4000,172.4800,0.000017
FILLER_40_174,VSS,Metal1,104.4400,172.4800,0.000017
FILLER_40_172,VSS,Metal1,103.6000,172.4800,0.000017
FILLER_40_164,VSS,Metal1,100.2930,172.9415,0.000017
FILLER_40_131,VSS,Metal1,80.8200,172.8285,0.000020
FILLER_40_123,VSS,Metal1,77.3330,172.9415,0.000020
FILLER_40_107,VSS,Metal1,70.5120,173.0280,0.000020
FILLER_40_104,VSS,Metal1,65.2400,172.4800,0.000020
FILLER_40_96,VSS,Metal1,62.2130,172.9415,0.000020
FILLER_40_77,VSS,Metal1,50.5800,172.8285,0.000019
FILLER_40_61,VSS,Metal1,44.7520,173.0280,0.000019
FILLER_40_55,VSS,Metal1,37.8000,172.4800,0.000019
FILLER_40_51,VSS,Metal1,36.0200,172.8285,0.000019
FILLER_40_37,VSS,Metal1,27.7200,172.4800,0.000017
FILLER_40_31,VSS,Metal1,24.8200,172.8285,0.000016
FILLER_40_14,VSS,Metal1,14.8400,172.4800,0.000016
FILLER_40_10,VSS,Metal1,13.0600,172.8285,0.000016
FILLER_40_2,VSS,Metal1,9.5730,172.9415,0.000016
FILLER_39_325,VSS,Metal1,189.0000,172.4800,0.000012
FILLER_39_323,VSS,Metal1,188.1600,172.4800,0.000012
FILLER_39_290,VSS,Metal1,169.8600,172.1310,0.000012
FILLER_39_282,VSS,Metal1,166.3730,172.0180,0.000013
FILLER_39_279,VSS,Metal1,163.2400,172.4800,0.000014
FILLER_39_277,VSS,Metal1,162.4000,172.4800,0.000014
FILLER_39_245,VSS,Metal1,152.2040,171.8820,0.000014
